paper_id,title,summary,authors,categories,primary_category,published,updated,abs_url,pdf_url,comment,authors_joined,categories_joined,summary_chars,age_days,text_for_embedding
10.1145/3637528.3671815,Advance,An extended empirical study on oft-deletions in vector databases leave orphaned embeddings that lead to hallucinations. This paper designs an idempotent index synchronization protocol that guarantees complete purges of outdated vector artifacts Further analysis on scaling parameters.,"['Duc Vu', 'Thao Dang']","['Databases', 'Information Systems']",Databases,2026-06-03,2026-06-03,https://doi.org/10.1145/3637528.3671815,https://doi.org/10.1145/3637528.3671815,,"Duc Vu, Thao Dang","Databases, Information Systems",284,114,"Title: Advance
Authors: Duc Vu, Thao Dang
Published: 2026-06-03
Categories: Databases, Information Systems
Summary: An extended empirical study on oft-deletions in vector databases leave orphaned embeddings that lead to hallucinations. This paper designs an idempotent index synchronization protocol that guarantees complete purges of outdated vector artifacts Further analysis on scaling parameters."
10.1145/3637528.3671814,Advanced Perspectives on Data Observability and Quality Gates for Production RAG Systems,An extended empirical study on ilent data corruption in RAG pipelines degrades LLM answer faithfulness without throwing runtime errors. We introduce automated quality gates using Great Expectations 1.x to catch stale and malformed embeddings before serving Further analysis on scaling parameters.,"['Anh Tran', 'Quoc Pham']","['Software Engineering', 'Data Systems']",Software Engineering,2026-06-02,2026-06-02,https://doi.org/10.1145/3637528.3671814,https://doi.org/10.1145/3637528.3671814,,"Anh Tran, Quoc Pham","Software Engineering, Data Systems",296,115,"Title: Advanced Perspectives on Data Observability and Quality Gates for Production RAG Systems
Authors: Anh Tran, Quoc Pham
Published: 2026-06-02
Categories: Software Engineering, Data Systems
Summary: An extended empirical study on ilent data corruption in RAG pipelines degrades LLM answer faithfulness without throwing runtime errors. We introduce automated quality gates using Great Expectations 1.x to catch stale and malformed embeddings before serving Further analysis on scaling parameters."
10.1145/3637528.3671813,Advanced Perspectives on Agentic Retrieval-Augmented Generation for Knowledge-Intensive Tasks,An extended empirical study on etrieval-Augmented Generation (RAG) significantly improves large language model accuracy by grounding responses in retrieved passages. We explore agentic multi-hop reasoning and routing across heterogeneous vector indices Further analysis on scaling parameters.,"['Minh Nguyen', 'Hoang Le']","['Artificial Intelligence', 'Information Retrieval']",Artificial Intelligence,2026-06-01,2026-06-01,https://doi.org/10.1145/3637528.3671813,https://doi.org/10.1145/3637528.3671813,,"Minh Nguyen, Hoang Le","Artificial Intelligence, Information Retrieval",292,116,"Title: Advanced Perspectives on Agentic Retrieval-Augmented Generation for Knowledge-Intensive Tasks
Authors: Minh Nguyen, Hoang Le
Published: 2026-06-01
Categories: Artificial Intelligence, Information Retrieval
Summary: An extended empirical study on etrieval-Augmented Generation (RAG) significantly improves large language model accuracy by grounding responses in retrieved passages. We explore agentic multi-hop reasoning and routing across heterogeneous vector indices Further analysis on scaling parameters."
10.1145/3637528.3671801,Agentic Retrieval-Augmented Generation for Knowledge-Intensive Tasks,|/|\| Retrieval-Augmented Generation (RAG) NULL_TOKEN significantly improves large #@!$ language model accuracy xkcd### by grounding responses ~~%^& in retrieved passages. &&** We explore agentic ~~%^& multi-hop reasoning and NULL_TOKEN routing across heterogeneous |/|\| vector indices.,"['Minh Nguyen', 'Hoang Le']","['Artificial Intelligence', 'Information Retrieval']",Artificial Intelligence,2021-05-21,2026-05-20,https://doi.org/10.1145/3637528.3671801,https://doi.org/10.1145/3637528.3671801,,"Minh Nguyen, Hoang Le","Artificial Intelligence, Information Retrieval",287,1953,"Title: Agentic Retrieval-Augmented Generation for Knowledge-Intensive Tasks
Authors: Minh Nguyen, Hoang Le
Published: 2021-05-21
Categories: Artificial Intelligence, Information Retrieval
Summary: |/|\| Retrieval-Augmented Generation (RAG) NULL_TOKEN significantly improves large #@!$ language model accuracy xkcd### by grounding responses ~~%^& in retrieved passages. &&** We explore agentic ~~%^& multi-hop reasoning and NULL_TOKEN routing across heterogeneous |/|\| vector indices."
10.1145/3637528.3671811,Hybrid Search Architectures: Combining BM25 with Dense Representations,Dense vector search excels at conceptual similarity but struggles with exact acronyms and serial numbers. Reciprocal Rank Fusion of sparse lexical scores and dense embeddings achieves optimal recall.,"['Dat Tran', 'Lan Pham']","['Information Retrieval', 'Algorithms']",Information Retrieval,2026-05-14,2026-05-14,https://doi.org/10.1145/3637528.3671811,https://doi.org/10.1145/3637528.3671811,,"Dat Tran, Lan Pham","Information Retrieval, Algorithms",199,134,"Title: Hybrid Search Architectures: Combining BM25 with Dense Representations
Authors: Dat Tran, Lan Pham
Published: 2026-05-14
Categories: Information Retrieval, Algorithms
Summary: Dense vector search excels at conceptual similarity but struggles with exact acronyms and serial numbers. Reciprocal Rank Fusion of sparse lexical scores and dense embeddings achieves optimal recall."
10.1145/3637528.3671806,Semantic Layer Integration for Agentic Text-to-SQL Pipelines,"Connecting LLMs directly to raw warehouse tables often results in schema misunderstandings. A governed semantic layer standardizes business metric definitions, dramatically boosting SQL generation accuracy.","['Huy Dinh', 'Trang Vo']","['Databases', 'Information Systems']",Databases,2026-05-02,2026-05-02,https://doi.org/10.1145/3637528.3671806,https://doi.org/10.1145/3637528.3671806,,"Huy Dinh, Trang Vo","Databases, Information Systems",206,146,"Title: Semantic Layer Integration for Agentic Text-to-SQL Pipelines
Authors: Huy Dinh, Trang Vo
Published: 2026-05-02
Categories: Databases, Information Systems
Summary: Connecting LLMs directly to raw warehouse tables often results in schema misunderstandings. A governed semantic layer standardizes business metric definitions, dramatically boosting SQL generation accuracy."
10.1145/3637528.3671809,Chunking Strategies for Technical Documentation Retrieval,Hierarchical and semantic boundary chunking preserves code block contexts and markdown headings. Our benchmark demonstrates superior top-1 recall compared to fixed character length sliding windows.,"['Long Trinh', 'Ha Chu']","['Information Retrieval', 'Natural Language Processing']",Information Retrieval,2026-04-30,2026-04-30,https://doi.org/10.1145/3637528.3671809,https://doi.org/10.1145/3637528.3671809,,"Long Trinh, Ha Chu","Information Retrieval, Natural Language Processing",197,148,"Title: Chunking Strategies for Technical Documentation Retrieval
Authors: Long Trinh, Ha Chu
Published: 2026-04-30
Categories: Information Retrieval, Natural Language Processing
Summary: Hierarchical and semantic boundary chunking preserves code block contexts and markdown headings. Our benchmark demonstrates superior top-1 recall compared to fixed character length sliding windows."
10.1145/3637528.3671803,Mitigating Ghost Vectors in Dense Retrieval via Idempotent Indexing,Soft-deletions in vector databases leave orphaned embeddings that lead to hallucinations. This paper designs an idempotent index synchronization protocol that guarantees complete purges of outdated vector artifacts.,"['Duc Vu', 'Thao Dang']","['Databases', 'Information Systems']",Databases,2026-04-18,2026-04-18,https://doi.org/10.1145/3637528.3671803,https://doi.org/10.1145/3637528.3671803,,"Duc Vu, Thao Dang","Databases, Information Systems",215,160,"Title: Mitigating Ghost Vectors in Dense Retrieval via Idempotent Indexing
Authors: Duc Vu, Thao Dang
Published: 2026-04-18
Categories: Databases, Information Systems
Summary: Soft-deletions in vector databases leave orphaned embeddings that lead to hallucinations. This paper designs an idempotent index synchronization protocol that guarantees complete purges of outdated vector artifacts."
10.1145/3637528.3671805,Evaluat,,"['Tuan Phan', 'Mai Bui']","['Natural Language Processing', 'Evaluation Methodology']",Natural Language Processing,2021-03-29,2026-03-28,https://doi.org/10.1145/3637528.3671805,https://doi.org/10.1145/3637528.3671805,,"Tuan Phan, Mai Bui","Natural Language Processing, Evaluation Methodology",0,2006,"Title: Evaluat
Authors: Tuan Phan, Mai Bui
Published: 2021-03-29
Categories: Natural Language Processing, Evaluation Methodology
Summary: "
10.1145/3637528.3671820,Advanced Perspectives on Multi-Agent Consensus for High-Stakes Fact Verification,An extended empirical study on single LLM is susceptible to confirmation bias when evaluating retrieved evidence. We demonstrate a multi-agent debate architecture where specialized verifier agents critique and corroborate citations Further analysis on scaling parameters.,"['Phong Vu', 'Ngan Hoang']","['Multi-Agent Systems', 'Artificial Intelligence']",Multi-Agent Systems,2026-06-08,2026-06-08,https://doi.org/10.1145/3637528.3671820,https://doi.org/10.1145/3637528.3671820,,"Phong Vu, Ngan Hoang","Multi-Agent Systems, Artificial Intelligence",271,109,"Title: Advanced Perspectives on Multi-Agent Consensus for High-Stakes Fact Verification
Authors: Phong Vu, Ngan Hoang
Published: 2026-06-08
Categories: Multi-Agent Systems, Artificial Intelligence
Summary: An extended empirical study on single LLM is susceptible to confirmation bias when evaluating retrieved evidence. We demonstrate a multi-agent debate architecture where specialized verifier agents critique and corroborate citations Further analysis on scaling parameters."
10.1145/3637528.3671817,Advanced Perspectives on Evaluating Retrieval Precision with Token F1 and LLM Judges,,"['Tuan Phan', 'Mai Bui']","['Natural Language Processing', 'Evaluation Methodology']",Natural Language Processing,2026-06-05,2026-06-05,https://doi.org/10.1145/3637528.3671817,https://doi.org/10.1145/3637528.3671817,,"Tuan Phan, Mai Bui","Natural Language Processing, Evaluation Methodology",0,112,"Title: Advanced Perspectives on Evaluating Retrieval Precision with Token F1 and LLM Judges
Authors: Tuan Phan, Mai Bui
Published: 2026-06-05
Categories: Natural Language Processing, Evaluation Methodology
Summary: "
10.1145/3637528.3671814,Advanced Perspectives on Data Observability and Quality Gates for Production RAG Systems,An extended empirical study on ilent data corruption in RAG pipelines degrades LLM answer faithfulness without throwing runtime errors. We introduce automated quality gates using Great Expectations 1.x to catch stale and malformed embeddings before serving Further analysis on scaling parameters.,"['Anh Tran', 'Quoc Pham']","['Software Engineering', 'Data Systems']",Software Engineering,2026-06-02,2026-06-02,https://doi.org/10.1145/3637528.3671814,https://doi.org/10.1145/3637528.3671814,,"Anh Tran, Quoc Pham","Software Engineering, Data Systems",296,115,"Title: Advanced Perspectives on Data Observability and Quality Gates for Production RAG Systems
Authors: Anh Tran, Quoc Pham
Published: 2026-06-02
Categories: Software Engineering, Data Systems
Summary: An extended empirical study on ilent data corruption in RAG pipelines degrades LLM answer faithfulness without throwing runtime errors. We introduce automated quality gates using Great Expectations 1.x to catch stale and malformed embeddings before serving Further analysis on scaling parameters."
10.1145/3637528.3671811,Hybrid Search Architectures: Combining BM25 with Dense Representations,Dense vector search excels at conceptual similarity but struggles with exact acronyms and serial numbers. Reciprocal Rank Fusion of sparse lexical scores and dense embeddings achieves optimal recall.,"['Dat Tran', 'Lan Pham']","['Information Retrieval', 'Algorithms']",Information Retrieval,2026-05-14,2026-05-14,https://doi.org/10.1145/3637528.3671811,https://doi.org/10.1145/3637528.3671811,,"Dat Tran, Lan Pham","Information Retrieval, Algorithms",199,134,"Title: Hybrid Search Architectures: Combining BM25 with Dense Representations
Authors: Dat Tran, Lan Pham
Published: 2026-05-14
Categories: Information Retrieval, Algorithms
Summary: Dense vector search excels at conceptual similarity but struggles with exact acronyms and serial numbers. Reciprocal Rank Fusion of sparse lexical scores and dense embeddings achieves optimal recall."
10.1145/3637528.3671806,Semantic Layer Integration for Agentic Text-to-SQL Pipelines,"Connecting LLMs directly to raw warehouse tables often results in schema misunderstandings. A governed semantic layer standardizes business metric definitions, dramatically boosting SQL generation accuracy.","['Huy Dinh', 'Trang Vo']","['Databases', 'Information Systems']",Databases,2026-05-02,2026-05-02,https://doi.org/10.1145/3637528.3671806,https://doi.org/10.1145/3637528.3671806,,"Huy Dinh, Trang Vo","Databases, Information Systems",206,146,"Title: Semantic Layer Integration for Agentic Text-to-SQL Pipelines
Authors: Huy Dinh, Trang Vo
Published: 2026-05-02
Categories: Databases, Information Systems
Summary: Connecting LLMs directly to raw warehouse tables often results in schema misunderstandings. A governed semantic layer standardizes business metric definitions, dramatically boosting SQL generation accuracy."
